year,v3_pixels,v3_area_km2,v4_pixels,v4_area_km2,v5_pixels,v5_area_km2,ratio_v3_to_v4_area,ratio_v5_to_v4_area,v5_override_pixels,v5_override_area_km2,v5_override_fraction
1938,72.000000,98522.209481,2158.000000,3192334.263184,451.000000,647663.313860,0.030862,0.202881,1707.000000,2544670.949324,0.791010
1939,89.000000,121988.992964,2750.000000,4056960.974495,580.000000,841073.461376,0.030069,0.207316,2170.000000,3215887.513118,0.789091
1940,86.000000,119147.850413,2123.000000,3181296.474639,416.000000,609768.805614,0.037453,0.191673,1707.000000,2571527.669025,0.804051
1941,78.000000,110282.414821,2416.000000,3577658.377035,473.000000,685675.987166,0.030825,0.191655,1943.000000,2891982.389869,0.804222
1942,64.000000,88207.409435,2196.000000,3291634.742806,382.000000,552439.183095,0.026797,0.167831,1814.000000,2739195.559712,0.826047
1943,92.000000,127094.755427,2376.000000,3513776.056973,458.000000,658294.025463,0.036170,0.187347,1918.000000,2855482.031510,0.807239
1944,86.000000,120458.186332,2328.000000,3527079.110973,437.000000,629725.107608,0.034152,0.178540,1891.000000,2897354.003366,0.812285
1945,94.000000,133672.353287,2318.000000,3466812.037978,449.000000,649846.442451,0.038558,0.187448,1869.000000,2816965.595526,0.806299
1946,79.000000,110248.003857,2375.000000,3562255.468055,433.000000,619544.336679,0.030949,0.173919,1942.000000,2942711.131375,0.817684
1947,77.000000,103804.854904,2423.000000,3641451.537831,437.000000,634058.564681,0.028506,0.174122,1986.000000,3007392.973149,0.819645
1948,82.000000,119192.599796,2617.000000,3929170.594710,481.000000,700438.551066,0.030335,0.178266,2136.000000,3228732.043644,0.816202
1949,88.000000,122041.749777,2434.000000,3670118.558451,439.000000,634238.337716,0.033253,0.172811,1995.000000,3035880.220734,0.819638
1950,80.000000,109782.001205,2442.000000,3634540.722655,416.000000,598116.482179,0.030205,0.164565,2026.000000,3036424.240475,0.829648
1951,110.000000,151817.008081,2658.000000,3954649.353960,536.000000,766192.835126,0.038389,0.193745,2122.000000,3188456.518834,0.798345
1952,76.000000,103504.944505,2547.000000,3799081.263499,456.000000,655654.046961,0.027245,0.172582,2091.000000,3143427.216538,0.820966
1953,93.000000,128793.266911,2485.000000,3720996.351996,394.000000,572066.050110,0.034613,0.153740,2091.000000,3148930.301885,0.841449
1954,82.000000,114601.986343,2548.000000,3796692.931655,471.000000,680611.818810,0.030185,0.179264,2077.000000,3116081.112845,0.815149
1955,83.000000,114997.855071,3079.000000,4560745.599695,541.000000,781171.048206,0.025215,0.171281,2538.000000,3779574.551489,0.824294
1956,67.000000,89708.508987,2415.000000,3534223.156594,423.000000,599984.755487,0.025383,0.169764,1992.000000,2934238.401107,0.824845
1957,88.000000,127321.832641,2870.000000,4313224.343094,530.000000,794410.390033,0.029519,0.184180,2340.000000,3518813.953061,0.815331
1958,68.000000,98784.233483,2667.000000,3942427.610079,461.000000,666585.365671,0.025057,0.169080,2206.000000,3275842.244408,0.827147
1959,58.000000,84558.178947,2796.000000,4202994.341290,502.000000,745810.903231,0.020119,0.177448,2294.000000,3457183.438059,0.820458
1960,78.000000,108808.788143,2629.000000,3958644.891003,461.000000,678513.566472,0.027486,0.171400,2168.000000,3280131.324531,0.824648
1961,80.000000,109907.983955,2792.000000,4101303.619541,498.000000,717567.703183,0.026798,0.174961,2294.000000,3383735.916357,0.821633
1962,74.000000,99726.628634,2490.000000,3671394.555531,412.000000,584570.247175,0.027163,0.159223,2078.000000,3086824.308356,0.834538
1963,71.000000,101839.479834,2731.000000,4053333.142530,465.000000,670455.255550,0.025125,0.165408,2266.000000,3382877.886980,0.829733
1964,74.000000,101873.958102,2989.000000,4492394.094028,483.000000,708717.927985,0.022677,0.157760,2506.000000,3783676.166043,0.838407
1965,63.000000,86685.120998,2711.000000,4071724.595599,446.000000,653387.493969,0.021290,0.160469,2265.000000,3418337.101630,0.835485
1966,64.000000,88501.563755,3031.000000,4530186.172469,483.000000,696679.368300,0.019536,0.153786,2548.000000,3833506.804169,0.840647
1967,58.000000,82397.837549,2729.000000,4118804.572823,434.000000,630288.131272,0.020005,0.153027,2295.000000,3488516.441551,0.840967
1968,55.000000,74304.012106,2806.000000,4200470.422253,429.000000,621679.698047,0.017689,0.148002,2377.000000,3578790.724207,0.847113
1969,53.000000,69419.522993,2930.000000,4410436.568521,476.000000,688324.775192,0.015740,0.156067,2454.000000,3722111.793329,0.837543
1970,65.000000,88123.973637,2986.000000,4499383.671667,452.000000,649980.204013,0.019586,0.144460,2534.000000,3849403.467654,0.848627
1971,60.000000,81310.708221,2913.000000,4348077.807793,465.000000,657949.767776,0.018700,0.151320,2448.000000,3690128.040017,0.840371
1972,67.000000,89729.656432,3013.000000,4428074.543828,535.000000,758131.129495,0.020264,0.171210,2478.000000,3669943.414334,0.822436
1973,51.000000,69063.860536,2907.000000,4338240.732633,448.000000,644663.279899,0.015920,0.148600,2459.000000,3693577.452735,0.845889
1974,52.000000,74984.171114,2828.000000,4246202.648073,430.000000,633818.338555,0.017659,0.149267,2398.000000,3612384.309518,0.847949
1975,64.000000,88882.775132,2919.000000,4366145.455600,497.000000,720451.141059,0.020357,0.165009,2422.000000,3645694.314541,0.829736
1976,51.000000,69162.483376,2936.000000,4390013.650517,459.000000,661937.800430,0.015755,0.150783,2477.000000,3728075.850087,0.843665
1977,51.000000,67885.774053,3237.000000,4778487.706341,550.000000,790775.890940,0.014207,0.165487,2687.000000,3987711.815401,0.830090
1978,66.000000,89801.794877,2881.000000,4297094.079418,476.000000,686863.983026,0.020898,0.159844,2405.000000,3610230.096393,0.834780
1979,60.000000,87375.800126,3093.000000,4644934.493498,573.000000,844286.201266,0.018811,0.181765,2520.000000,3800648.292233,0.814743
1980,57.000000,81207.743857,3006.000000,4502502.896008,502.000000,736669.003819,0.018036,0.163613,2504.000000,3765833.892189,0.833001
1981,43.000000,58552.404054,3212.000000,4759838.851822,518.000000,747364.158906,0.012301,0.157015,2694.000000,4012474.692916,0.838730
1982,47.000000,61083.404933,2650.000000,3919368.594791,416.000000,590068.179221,0.015585,0.150552,2234.000000,3329300.415570,0.843019
1983,51.000000,68563.921799,3193.000000,4782006.500000,487.000000,712705.189486,0.014338,0.149039,2706.000000,4069301.310513,0.847479
1984,48.000000,70669.167482,2914.000000,4376618.303081,450.000000,659556.205446,0.016147,0.150700,2464.000000,3717062.097636,0.845573
1985,67.000000,94259.726392,3244.000000,4854929.577838,521.000000,752998.398672,0.019415,0.155100,2723.000000,4101931.179166,0.839396
